PBID,LP Name,Code,Data Website,Last Check Date
10367-47,HBM Healthcare Investments,HBMHealth,http://www.hbmhealthcare.com/en/portfolio/monatsuebersicht.php,'>Quarterly Report September 2015</a>'
53714-17,Aberdeen Private Equity Fund,gpAPEF,http://www.aberdeenprivateequity.co.uk/en/itprivateequityfund/literature/historic-reports,'September 2015'
11603-80,San Jose Federated City Employees' Retirement System,FCERS,https://www.sjretirement.com/Fed/Investments/Investments-Performance.asp,"'March 31, 2015'"
11547-46,AP Fonden 2,AP2,http://www.ap2.se/en/Portfolio/portfolio/,"'href=""/Global/AR/2014/Unquoted.pdf""'"
56968-93,San Jose Police & Fire Department Retirement Plan,SanJosePF-RE,https://www.sjretirement.com/PF/Investments/Investments-Performance.asp,"'June 30, 2015'"
12657-70,Fresno County Employees' Retirement Association,FCERA,http://www2.co.fresno.ca.us/9200/investments.htm#Investment,"'IPR.pdf"" target=""new"">Investment Results'"
11596-33,Pennsylvania Public School Employees Retirement System,PSERS-RE,http://www.psers.state.pa.us/investment/invest.htm,'../forms/2015/2015%201Q%20-%20RE%20Final.pdf'
51615-10,Partners Group Private Equity Performance,Partners-P3,http://pgdatahotel.net/index.php,"'<option value=""2016"">2016</option>'"
10772-83,Princess Private Equity,Partners-Princess,http://pgdatahotel.net/index.php,"'<option value=""2016"">2016</option>'"
53427-61,San Luis Obispo County Pension Trust,SLOCPT,http://www.slocounty.ca.gov/PensionTrust/agendas.htm,"'href=""/Assets/PT/pdf/Board+Meetings/A-+2016+Board+of+Trustees+Meeting+Schedule/01+-+Jan+25+2016+-+Agenda+$!26+Board+Materials+-+Distrib+v1.pdf""'"
11607-67,Employees' Retirement System of the State of Hawaii,HIERS-PE,http://ers.ehawaii.gov/investments/holdings,"'June 30, 2015'"
11563-12,District of Columbia Retirement Board,DCRB,http://dcrb.dc.gov/service/investment-reports,"'June 30, 2015'"
52375-42,Scandinavian Private Equity,SPE,http://www.speas.dk/default.asp?id=166,"'<a href=""file.asp?id=726"">Delårsrapport Q3 2015/16</a>'"
53645-14,City Of Grand Rapids General Retirement System,GRRS,http://grcity.us/retirement-systems/General-Retirement-System/Pages/General-Investment-Performance-Reports.aspx,"'March 31,'"
11596-69,Pennsylvania State Employees Retirement System,PENNSERS-PE,http://sers.pa.gov/investments.aspx,"'December 31, 2014</a>'"
11600-20,Chicago Public School Teachers' Pension & Retirement Fund,CTPF-PE,http://www.ctpf.org/general_info/Investments_content.htm,'First Quarter 2015 Callan Private Equity'
54109-18,Imperial County Employees' Retirement System,ICERS,http://www.icers.info/QuarterlyInvestments/QuarterlyInvestments.htm,'09/30/2015'
11591-92,New Hampshire Retirement System,NHRS,https://www.nhrs.org/funding-and-investments/investments,"'href=""/docs/default-source/other/private-market-investment-overview-current.pdf?sfvrsn=12""'"
11620-27,West Yorkshire Pension Fund,WYPF,http://www.wypf.org.uk/Member/Investments/PrivateEquityPortfolio/PrivateEquityPortfolio.aspx,'2015/PrivateEquityPortfolio2015.aspx'
10849-06,Canada Pension Plan Investment Board,CPPIB,http://www.cppib.com/en/what-we-do/our-investments.html,"'June 30, 2015'"
11600-11,Public School Retirement System of Missouri,PEERS,https://www.psrs-peers.org/Investments/Annual-Report.html,'<h2>2015 Comprehensive Annual Financial Report</h2>'
11079-46,California Public Employees Retirement System,CalPERS,https://www.calpers.ca.gov/page/investments/asset-classes/private-equity/pep-fund-performance,"'June 30, 2015'"
11620-18,Western Michigan University Foundation,WMUFoundation,http://www.mywmu.com/s/1428/gid2/index.aspx?sid=1428&gid=2&pgid=429,'3rd Quarter '
64388-44,Nevada System of Higher Education Endowment,NSHEEndowment,http://system.nevada.edu/Nshe/index.cfm/data-reports/financial-reports/quarterly-investment-reports/,'Third Quarter 2015'
11592-01,New Jersey Division of Investment,NJSIC,http://www.state.nj.us/treasury/doinvest/directorsreports.shtml,"'href=""pdf/DirectorsReport/2015/September2015.pdf""'"
11557-27,Cincinnati Retirement System,CRS,http://www.cincinnati-oh.gov/retirement/financial-information/investment-reports-2015/,'3rd Quarter Report 2015'
13471-75,The African Development Bank,AfDB,http://www.afdb.org/en/documents/financial-information/financial-statements-and-data/,'2014'
13493-80,Private Equity Holding AG,PEHAG,http://www.peh.ch/,'/~/media/Files/P/PEH/documents/PEH_Half_Year_Report_30-09-2015 FINAL.pdf'
56968-93,San Jose Police & Fire Department Retirement Plan,SanJosePF-PE,https://www.sjretirement.com/PF/Investments/Investments-Performance.asp,"'June 30, 2015'"
53714-53,Allegheny County Retirement System,RBAC,http://www.alleghenycounty.us/retirement/reports/reports.aspx,"'June 30, 2015'"
11596-33,Pennsylvania Public School Employees Retirement System,PSERS-PE,http://www.psers.state.pa.us/investment/invest.htm,'../forms/2015/PEVCPD%20as%20of%203.31.15.pdf'
10894-78,New York State Common Retirement Fund,NYCRF,http://www.osc.state.ny.us/retire/about_us/financial_statements_index.php#cafr,"'href=""annual_report_2015/index.php""'"
13344-40,NB Private Equity Partners,NBPEP,http://www.nbprivateequitypartners.com/financialreport.aspx,'NBPE Q3 2015 Interim Financial Report'
39287-17,Municipal Employees' Annuity & Benefit Fund Of Chicago,MEABF,http://www.meabf.org/investments-reports.php,'03/31/2015'
10124-74,Onex,gpOnex,http://www.onex.com/Our_Return_on_Invested_Capital.aspx,"'
            September 30, 2015'"
11145-43,CapMan Capital Management,gpCapMan,http://www.capman.com/capman-group/earnings-model-and-financials/result,'Interim report 1 January - 30 September 2015'
11607-67,Employees' Retirement System of the State of Hawaii,HIERS-RE,http://ers.ehawaii.gov/investments/holdings,"'June 30, 2015'"
58144-96,Vermont State Teachers Retirement System,V-STRS,http://www.vermonttreasurer.gov/retirement/vstrs-financial-reports,'2015 September: Third Quarter'
11600-20,Chicago Public School Teachers' Pension & Retirement Fund,CTPF-RE,http://www.ctpf.org/general_info/Investments_content.htm,'Second Quarter 2015 Townsend Real Estate Summary'
11576-98,Industriens Pension,IP-UL,https://www.industrienspension.dk/da/Om%20Industriens%20Pension/Investeringer#accordion=Aktiver,'/~/media/Files/Investering/2015/November/20151130%20Unoterede%20aktier%20output.pdf?la=da'
14183-02,AP Fonden 3,AP3-REIF,http://www.ap3.se/sites/english/portfolio/totalportfolio/Pages/Securitiesholding.aspx,'June 2015'
11616-67,University of Wisconsin System,UWS,https://www.wisconsin.edu/trust-funds/investments-and-reports/,"'href=""https://www.wisconsin.edu/trust-funds/download/investments_and_reports/QtrlyReport0615.pdf""'"
11549-89,Baltimore Fire & Police Retirement System,BCFPERS,http://bcfpers.org/services-view/investment-flash-reports/,'September 2015'
11145-43,CapMan Capital Management,gpCapMan4q,http://www.capman.com/capman-group/funds/fund-returns,'<h2>The funds' returns as at 31 December 2014</h2>'
11592-28,New Mexico State Investment Council,NMSIC,http://www.sic.state.nm.us/private-equity-investments.aspx,'National Private Equity Program Quarterly Performance Review Q2 2015'
11547-91,Public Safety Personnel Retirement System of the State of Arizona,PSPRS,http://www.psprs.com/sys_psprs/AnnualReports/cato_annual_rpts_psprs.htm,'FYE 2015 COMPREHENSIVE ANNUAL FINANCIAL REPORT (CAFR)'
52082-47,The Iowa State University Endowment,IowaRegents,http://www.regents.iowa.gov/Meetings/DocketMemos/agendaitems.html,'16Memos/January21206/0116_CSSAgenda.pdf'
11542-96,North East Scotland Pension Fund,ACC,http://www.nespf.org.uk/Investment/inv_managers.asp,"'September 30, 2015'"
11603-53,San Bernardino County Employees' Retirement Association,SBCERA,https://www.sbcera.org/Investments/FiscalYearPerformance.aspx,"'href=""/Portals/0/PDFs/Investments/2015/NEPC_Quarterly_Report_9-30-15.PDF""'"
11588-14,Michigan Department of Treasury,MERS,"http://www.michigan.gov/treasury/0,4679,7-121-1753_37621_66445---,00.html","'href=""/documents/treasury/IAC_Meeting_12-1-15_507348_7.pdf""'"
11583-37,London Borough of Islington Pension Fund,Islington,http://www.islington.gov.uk/about/council-works/councilfinance/Pages/policies.aspx,"'href=""http://www.islington.gov.uk/publicrecords/library/Finance/Information/Guidance/2015-2016/(2015-10-26)-Islington-Pension-Fund.xlsx""'"
11023-48,Mithras Capital Partners,gpMCP,http://www.mithrascapital.com/reports/,'Interim Report and Financial Statements - 30 June 2015'
40385-44,San Diego City Employees Retirement System,SDCERS,https://board.sdcers.org/sirepub/meetresults.aspx?wmode=transparent,'January 2016'
11554-48,California State Teachers' Retirement System,CalSTRS,http://www.calstrs.com/private-equity-portfolio-performance,"'March 31, 2015'"
51685-66,El Paso Firemen & Policemen's Pension Fund,ElPasoFP,http://elpasofireandpolice.org/fr_investment.asp,"'href=""images/1Q15_PR.pdf""><img'"
11619-19,Washington State Investment Board,WSIB,http://www.sib.wa.gov/financial/invrep_ir.asp,"'June 30, 2015'"
11607-67,Employees' Retirement System of the State of Hawaii,HIERS-TI,http://ers.ehawaii.gov/investments/holdings,"'June 30, 2015'"
112776-31,Community Foundation of the Chattahoochee Valley,Chattahoochee,http://www.cfcv.com/plaintext/aboutus/investmentperformance.aspx,'http://cfcv.com/documentlibrary/166_CfcvQR063015%20for%20web.pdf'
11606-41,South Dakota Investment Council,SDIC,http://www.sdrs.sd.gov/publications.aspx,'FY2014'
11548-09,Arkansas Teacher Retirement System,ATRS,https://www.artrs.gov/publications,'FY 2014'
11554-84,Cambridge Retirement System,CamRet,http://www.cambridgeretirementma.gov/financial-reports,'Third Quarter 2015'
11604-79,Sheet Metal Workers National Pension Fund,SMWNPF,http://www.smwnpf.org/about-the-fund/financial-documents/,"'June 30, 2015 Unaudited Financial Statement</a'"
52900-30,Iowa Municipal Fire & Police Retirement System,MFPRSI,http://www.mfprsi.org/about-mfprsi/investments/,"'<h3>Most Recent Quarter (September 30, 2015)</h3>'"
60293-35,The Permanent University Fund,PUF,http://www.utimco.org/scripts/internet/fundsdetail.asp?fnd=2,"'June 30, 2015 Semi-Annual report'"
11588-86,Milwaukee County Employees' Retirement System,MCERS,http://county.milwaukee.gov/Retirement/Reports/Investment.htm,"'href=""/ImageLibrary/Groups/cntyHR/PDFdocs/MilwaukeeJune2015.pdf""'"
53427-70,San Joaquin County Employees' Retirement Association,SJCERA-RE,http://www.sjcera.org/Pages/content/investments/index.html,'1Q 2015'
58145-23,Vermont Municipal Employees' Retirement System,V-MERS,http://www.vermonttreasurer.gov/retirement/muni-financial-reports,'2015 September: Third Quarter'
11598-13,City of Phoenix Employees' Retirement Plan,COPERS,https://www.phoenix.gov/copers/pension-plan-reports,"'href=""https://www.phoenix.gov/coperssite/Documents/06-30-15'"
11615-68,University of Washington Endowment,UWEndowment,https://uwff-dev1.s.uw.edu/treasury2/CEF/reports,"'http://f2.washington.edu/treasury/sites/default/files/HB1640%20Private%20Investment%20Disclosure%20Requirement%20as%20of%20June%2030,%202015_0.pdf'"
14183-02,AP Fonden 3,AP3-PE,http://www.ap3.se/sites/english/portfolio/totalportfolio/Pages/Securitiesholding.aspx,'June 2015'
58887-01,Vantage Private Equity Growth,VPEG,http://vpeg.info/investor-information/financials,'http://vpeg.info/wp/wp-content/uploads/2015/08/VPEG-Quarterly-Report-June-2015.pdf'
58535-92,Basellandschaftliche Pensionskasse,BLPK,http://www.blpk.ch/Home/infocenter/geschaeftsberichte.html,"'href=""/dms/BLPK/infocenter/geschaeftsbericht/gb2014.pdf""'"
11582-56,Lincolnshire County Council,Lincolnshire,http://www.wypf.org.uk/Member/Investments/Lincoln/Lincoln_Investments_Index.aspx,'pdf/2015/Private-Equity-and-Property-Investments-September-2015.pdf'
54040-69,Tulare County Employees' Retirement Association,TCERA,http://tcera.org/Publications.php,'Q3 2015'
13439-17,Contra Costa County Employees Retirement Association,CCCERA,http://www.cccera.org/investment-performance,"'September 30, 2015'"
51615-37,Pearl Holding Limited,Partners-Pearl,http://pgdatahotel.net/index.php,"'<option value=""2016"">2016</option>'"
11548-00,Arizona State Retirement System,ASRS,https://www.azasrs.gov/content/annual-reports,'FY 2015'
11576-98,Industriens Pension,IP-PROP,https://www.industrienspension.dk/da/Om%20Industriens%20Pension/Investeringer#accordion=Aktiver,'/~/media/Files/Investering/2015/November/20151130%20Ejendom%20output.pdf?la=da'
11616-58,The Regents of the University of California,UCRegents,http://www.ucop.edu/investment-office/investment-reports/index.html,"'href=""../_files/updates/pe_irr_03_31_15.pdf"">Alternative'"
11575-99,State Universities Retirement System of Illinois,SURSIl,http://www.surs.org/quarterly-standard-investment-reports,'September 2015'
11596-69,Pennsylvania State Employees Retirement System,PENNSERS-RE,http://sers.pa.gov/investments.aspx,"'December 31, 2014</a>'"
58382-83,City of Grand Rapids Police and Fire Retirement System,GRPFRS,http://grcity.us/retirement-systems/Police-and-Fire-Retirement-System/Pages/Police-and-Fire-Investment-Performance-Reports.aspx,"'March 31,'"
58549-42,Rhode Island State Investment Commission,RISIC,http://investments.treasury.ri.gov/meetings-reports/,"'href=""http://data.treasury.ri.gov/dataset/2015-11-state-investment-commission-report-and-materials-november-2015"">November'"
11575-72,Public Employee Retirement System of Idaho,PERSI,http://www.persi.idaho.gov/investments/reports.cfm,'3Q15'
11576-98,Industriens Pension,IP-INF,https://www.industrienspension.dk/da/Om%20Industriens%20Pension/Investeringer#accordion=Aktiver,'/~/media/Files/Investering/2015/November/20151130%20Infrastruktur%20output.pdf?la=da'
11607-67,Employees' Retirement System of the State of Hawaii,HIERS-VC,http://ers.ehawaii.gov/investments/holdings,"'June 30, 2015'"
11585-80,Maine Public Employees Retirement System,MainePERS,http://www.mainepers.org/Investments/Investments.htm,"'href=""Invest%20Data/IRR%20Table%20for%20FOIA%20Requests_2015-Q2.pdf""'"
53427-70,San Joaquin County Employees' Retirement Association,SJCERA-PA,http://www.sjcera.org/Pages/content/investments/index.html,'2Q 2015'
58144-69,Vermont State Employees Retirement System,V-SERS,http://www.vermonttreasurer.gov/retirement/state-financial-reports,'2015 September: Third Quarter'
11579-32,Kansas Public Employees Retirement System,KPERS,http://www.kpers.org/about/reports.html,'../annualreport2015.pdf'
